file,match,score,action
Captopril Tablet 25mg,Captopril Tablet 25mg,1.0,copied
Carefree Pantyliner,Carefree Pantyliner,1.0,copied
Cavit D3 Kapsul,Cavit D3 Kapsul,1.0,copied
Cavit D3 Sirup,Cavit D3 Sirup,1.0,copied
Celery Seed Extract,Celery Seed Extract,1.0,copied
Cendo Deflucon Drop,Cendo Deflucon Drop,1.0,copied
Cendo Tobroson Minidose,Cendo Tobroson Minidose,1.0,copied
Cetirizine 5mg Tablet,Cetirizine Tablet 10mg,1.0,copied
Chloramphenicol Cream,Chloramphenicol Cream,1.0,copied
Chloramphenicol Kapsul 250mg,Chloramphenicol Kapsul 250mg,1.0,copied
Chlorpheniramine Sirup,Chlorpheniramine Sirup,1.0,copied
Chondroitin Kapsul,Chondroitin Kapsul,1.0,copied
Chromium Picolinate,Chromium Picolinate,1.0,copied
Ciclopirox Olamine Cream,Ciclopirox Olamine Cream,1.0,copied
Cinnarizine Tablet 25mg,Cinnarizine Tablet 25mg,1.0,copied
Cisapride Tablet,Cisapride Tablet,1.0,copied
Clindamycin Gel 1%,Clindamycin Gel 1%,1.0,copied
Clobetasol Cream 0.05%,Clobetasol Cream 0.05%,1.0,copied
Codein Fosfat Tablet,Codein Fosfat Tablet,1.0,copied
Colsancetin Tablet,Colsancetin Tablet,1.0,copied
Combivent MDI,Combivent MDI,1.0,copied
CoQ10 Kapsul 100mg,CoQ10 Kapsul 100mg,1.0,copied
Cotrimoxazole Tablet,Cotrimoxazole Tablet,1.0,copied
Cranberry Extract Kapsul,Cranberry Extract Kapsul,1.0,copied
Cream Cap Lang Merah,Cream Cap Lang Merah,1.0,copied
Curcuma Force Kapsul,Curcuma Force Kapsul,1.0,copied
Curcuma Plus Sirup,Curcuma Plus Sirup,1.0,copied
Curcumin Kapsul,Curcumin Kapsul,1.0,copied
Deep Heat Rub,Deep Heat Rub,1.0,copied
Desloratadine Tablet,Desloratadine Tablet,1.0,copied
Dexamethasone Tablet 0.5mg,Dexamethasone Tablet 0.5mg,1.0,copied
Dextromethorphan Tablet,Dextromethorphan Tablet,1.0,copied
Diphenhydramine Sirup,Diphenhydramine Sirup,1.0,copied
Diphenhydramine Tablet 25mg,Diphenhydramine Tablet 25mg,1.0,copied
Dolgesic Tablet,Dolgesic Tablet,1.0,copied
Domperidone Tablet 10mg,Domperidone Tablet 10mg,1.0,copied
download,,0.4166666666666667,skipped
Dumin Sirup,Dumin Sirup,1.0,copied
Duoderm CGF Plester,Duoderm CGF Plester,1.0,copied
Elkana Sirup,Elkana Sirup,1.0,copied
Elocon Cream 5g,Elocon Cream 5g,1.0,copied
Enervon Active Effervescent,Enervon Active Effervescent,1.0,copied
Enervon C Tablet,Enervon C Tablet,1.0,copied
Enterogermina Oral Suspension,Enterogermina Oral Suspension,1.0,copied
Erdosteine Kapsul,Erdosteine Kapsul,1.0,copied
Erythromycin Tablet 500mg,Erythromycin Tablet 500mg,1.0,copied
Eve Primrose Oil Kapsul,Eve Primrose Oil Kapsul,1.0,copied
Fatigon Tablet,Fatigon Tablet,1.0,copied
Feminax Strip 4s,Feminax Strip 4s,1.0,copied
Fimestan Strip 4s,Fimestan Strip 4s,1.0,copied
Flixonase Nasal Spray,Flixonase Nasal Spray,1.0,copied
Fluconazole Kapsul 150mg,Fluconazole Kapsul 150mg,1.0,copied
Flunarizine Kapsul 5mg,Flunarizine Kapsul 5mg,1.0,copied
Fluocinolone Cream 0.025%,Fluocinolone Cream 0.025%,1.0,copied
Folic Acid Tablet 400mcg,Folic Acid Tablet 400mcg,1.0,copied
Formoterol Inhaler,Formoterol Inhaler,1.0,copied
Fusycom Gel,Fusycom Gel,1.0,copied
Gargle Betadine 50ml,Gargle Betadine 50ml,1.0,copied
Garlic Extract Tablet,Garlic Extract Tablet,1.0,copied
Gasmotin Tablet,Gasmotin Tablet,1.0,copied
Gentamicin Cream 0.1%,Gentamicin Cream 0.1%,1.0,copied
Gentamicin Eye Drops,Gentamicin Eye Drops,1.0,copied
Glibenclamide Tablet,Glibenclamide Tablet,1.0,copied
Gliseril Guaiakolat Tablet,Gliseril Guaiakolat Tablet,1.0,copied
Glucosamine Tablet,Glucosamine Tablet,1.0,copied
Guaifenesin Sirup,Guaifenesin Sirup,1.0,copied
Gymnema Sylvestre Kapsul,Gymnema Sylvestre Kapsul,1.0,copied
Gynecosid Tablet,Gynecosid Tablet,1.0,copied
Habatussauda Oil Capsule,Habatussauda Oil Capsule,1.0,copied
Hawthorn Berry Kapsul,Hawthorn Berry Kapsul,1.0,copied
Hemaviton Action Kapsul,Hemaviton Action Kapsul,1.0,copied
Hemaviton Energy Drink,Hemaviton Energy Drink,1.0,copied
Heptasan Sirup,Heptasan Sirup,1.0,copied
Hexadol Gargle,Hexadol Gargle,1.0,copied
Hydrocortisone Cream 1%,Hydrocortisone Cream 2.5%,0.91,copied
Hydrocortisone Cream 2.5%,Hydrocortisone Cream 2.5%,1.0,copied
Hyoscine Tablet 10mg,Hyoscine Tablet 10mg,1.0,copied
Ibuprofen 200mg Strip,Ibuprofen 200mg Strip,1.0,copied
Ibuprofen 400mg Tablet,Ibuprofen 400mg Tablet,1.0,copied
Insulin Plant Kapsul,Insulin Plant Kapsul,1.0,copied
Intunal Tablet,Intunal Tablet,1.0,copied
Iodine Povidone 10% 60ml,Iodine Povidone 10% 60ml,1.0,copied
Iron Chelate Kapsul,Iron Chelate Kapsul,1.0,copied
Jamu Beras Kencur Sachet,Jamu Beras Kencur Sachet,1.0,copied
Jamu Kudu Laos Sachet,Jamu Kudu Laos Sachet,1.0,copied
Kejibeling Kapsul,Kejibeling Kapsul,1.0,copied
Ketorolac Tablet,Ketorolac Tablet,1.0,copied
Kloderma Cream,Kloderma Cream,1.0,copied
Kloramfenikol Tetes Mata,Kloramfenikol Tetes Mata,1.0,copied
Kolagen Tripeptide,Kolagen Tripeptide,1.0,copied
Koyo Sport,Koyo Sport,1.0,copied
Kwan Loong Oil,Kwan Loong Oil,1.0,copied
Lactulose Sirup,Lactulose Sirup,1.0,copied
Lisinopril Tablet 5mg,Lisinopril Tablet 5mg,1.0,copied
Listerine Cool Mint 100ml,Listerine Cool Mint 80ml,1.0,copied
Listerine Cool Mint 80ml,Listerine Cool Mint 80ml,1.0,copied
Listerine Total Care 250ml,Listerine Total Care 250ml,1.0,copied
Loratadine Sirup 60ml,Loratadine Sirup 60ml,1.0,copied
Losio Krim Tabir Surya,Losio Krim Tabir Surya,1.0,copied
Magnesium Tablet 250mg,Magnesium Tablet 250mg,1.0,copied
Mebo Scar Gel 15g,Mebo Scar Gel 15g,1.0,copied
Mefenacid Tablet,Mefenacid Tablet,1.0,copied
Mefenamic Forte 500mg,Mefenamic Forte 500mg,1.0,copied
Mefinal Tablet,Mefinal Tablet,1.0,copied
Melatonin 3mg Tablet,Melatonin 3mg Tablet,1.0,copied
Meloxicam Tablet,Meloxicam Tablet,1.0,copied
Metformin Tablet 500mg,Metformin Tablet 500mg,1.0,copied
Methylprednisolone Tablet 4mg,Methylprednisolone Tablet 4mg,1.0,copied
Metronidazole Gel,Metronidazole Gel,1.0,copied
Metronidazole Tablet 500mg,Metronidazole Tablet 500mg,1.0,copied
Migran Tablet,Migran Tablet,1.0,copied
Minyak Kayu Putih Cap Lang 60ml,Minyak Kayu Putih Cap Lang 60ml,1.0,copied
Minyak Kayu Putih Konicare 60ml,Minyak Kayu Putih Konicare 60ml,1.0,copied
Minyak Tawon,Minyak Tawon,1.0,copied
Mometasone Nasal Spray,Mometasone Nasal Spray,1.0,copied
MSM Tablet,MSM Tablet,1.0,copied
Mucolite Kapsul,Mucolite Kapsul,1.0,copied
Mupirocin Salep,Mupirocin Salep,1.0,copied
Myonal Tablet,Myonal Tablet,1.0,copied
Nairet Tablet,Nairet Tablet,1.0,copied
Natalac 500mg Tablet,Natalac 500mg Tablet,1.0,copied
Natrium Diklofenak 50mg,Natrium Diklofenak 50mg,1.0,copied
Neuralgin Tablet,Neuralgin Tablet,1.0,copied
Neurobion Forte Tablet,Neurobion Forte Tablet,1.0,copied
Nicotinamide Gel,Nicotinamide Gel,1.0,copied
Nizoral Shampoo 60ml,Nizoral Shampoo 60ml,1.0,copied
Noni Gold Kapsul,Noni Gold Kapsul,1.0,copied
Noprovit Sirup,Noprovit Sirup,1.0,copied
Novalgin Tablet,Novalgin Tablet,1.0,copied
Nystatin Drop,Nystatin Drop,1.0,copied
OBH Combi Batuk Anak,OBH Combi Batuk Anak,1.0,copied
OBH Combi Batuk,OBH Combi Batuk,1.0,copied
Omega-3 Fish Oil,Omega-3 Fish Oil,1.0,copied
Ondansetron Tablet 4mg,Ondansetron Tablet 4mg,1.0,copied
ORS Sachets Oralit WHO,ORS Sachets Oralit WHO,1.0,copied
Paediatric Tempral Sirup,Paediatric Tempral Sirup,1.0,copied
Paramex Sirup,Paramex Sirup,1.0,copied
Paramex Tablet,Paramex Tablet,1.0,copied
Parasetamol Tablet 500mg,Parasetamol Tablet 500mg,1.0,copied
Passiflora Kapsul,Passiflora Kapsul,1.0,copied
Pheniramine Maleate Tablet,Pheniramine Maleate Tablet,1.0,copied
Piroxicam Gel 0.5%,Piroxicam Gel 0.5%,1.0,copied
Pityriasis Shampoo,Pityriasis Shampoo,1.0,copied
Plantago Ovata Granul,Plantago Ovata Granul,1.0,copied
Ponstan Kaplet,Ponstan Kaplet,1.0,copied
Potasium Sitrat Tablet,Potasium Sitrat Tablet,1.0,copied
Prednisone Tablet 5mg,Prednisone Tablet 5mg,1.0,copied
Prenavit Tablet,Prenavit Tablet,1.0,copied
Prochlorperazine Tablet,Prochlorperazine Tablet,1.0,copied
Promethazine Tablet 25mg,Promethazine Tablet 25mg,1.0,copied
Propolis Kapsul,Propolis Kapsul,1.0,copied
Proris Sirup,Proris Sirup,1.0,copied
Pseudoephedrine Tablet,Pseudoephedrine Tablet,1.0,copied
Ranitidine Tablet 150mg,Ranitidine Tablet 150mg,1.0,copied
Refresh Tears 10ml,Refresh Tears 10ml,1.0,copied
Renadinac Tablet,Renadinac Tablet,1.0,copied
Respinova Sirup,Respinova Sirup,1.0,copied
Resveratrol Kapsul,Resveratrol Kapsul,1.0,copied
Rheumason Gel,Rheumason Gel,1.0,copied
Rhinocort Nasal Spray,Rhinocort Nasal Spray,1.0,copied
Rhinos Neo Sirup,Rhinos Neo Sirup,1.0,copied
Rupatadine Tablet 10mg,Rupatadine Tablet 10mg,1.0,copied
Salbutamol Inhaler,Salbutamol Inhaler,1.0,copied
Salicylic Acid 2% Gel,Salicylic Acid 2% Gel,1.0,copied
Salonpas Hot Koyo,Salonpas Hot Koyo,1.0,copied
Salonpas Koyo,Salonpas Koyo,1.0,copied
Sanaflu Sirup,Sanaflu Sirup,1.0,copied
Sanmol Forte Tablet,Sanmol Forte Tablet,1.0,copied
Scopola Tablet,Scopola Tablet,1.0,copied
Scott's Emulsion,Scott's Emulsion,1.0,copied
Selsun Shampoo 60ml,Selsun Shampoo 60ml,1.0,copied
Sido Muncul Herbal Jahe Merah,Sido Muncul Herbal Jahe Merah,1.0,copied
Silver Sulfadiazine Cream 1%,Silver Sulfadiazine Cream 1%,1.0,copied
Simethicone Tablet 40mg,Simethicone Tablet 40mg,1.0,copied
Simvastatin Tablet 10mg,Simvastatin Tablet 10mg,1.0,copied
Skinoren Gel 15g,Skinoren Gel 15g,1.0,copied
Spiramycin Tablet,Spiramycin Tablet,1.0,copied
Spiriva Handihaler,Spiriva Handihaler,1.0,copied
Spirulina Tablet 500mg,Spirulina Tablet 500mg,1.0,copied
Stopcold Tablet,Stopcold Tablet,1.0,copied
Strepsils Intensive,Strepsils Intensive,1.0,copied
Strepsils Madu Lemon,Strepsils Madu Lemon,1.0,copied
Sucralfate Suspensi,Sucralfate Suspensi,1.0,copied
Suplemen Koenzim Q10,Suplemen Koenzim Q10,1.0,copied
Symbicort Inhaler,Symbicort Inhaler,1.0,copied
Systane Ultra 10ml,Systane Ultra 10ml,1.0,copied
Tempra Drop,Tempra Drop,1.0,copied
Tempuyung Kapsul,Tempuyung Kapsul,1.0,copied
Terbinafine Cream,Terbinafine Cream,1.0,copied
Termorex Sirup,Termorex Sirup,1.0,copied
Tetracycline Kapsul 250mg,Tetracycline Kapsul 250mg,1.0,copied
Theragran-M Tablet,Theragran-M Tablet,1.0,copied
Therasystan Kapsul,Therasystan Kapsul,1.0,copied
Thiamphenicol Kapsul 500mg,Thiamphenicol Kapsul 500mg,1.0,copied
Tiger Balm Red,Tiger Balm Red,1.0,copied
Tiger Balm White,Tiger Balm White,1.0,copied
Togafurin Sirup,Togafurin Sirup,1.0,copied
Tretinoin Cream 0.025%,Tretinoin Cream 0.025%,1.0,copied
Triaminic Sirup 60ml,Triaminic Sirup 60ml,1.0,copied
Urinozinc Tablet,Urinozinc Tablet,1.0,copied
Valerian Root Kapsul,Valerian Root Kapsul,1.0,copied
Vegeta Herbal,Vegeta Kapsul,0.69,copied
Vegeta Junior Tablet Hisap,Vegeta Junior Tablet Hisap,1.0,copied
Ventolin Inhaler,Ventolin Inhaler,1.0,copied
Vfresh Sirup,Vfresh Sirup,1.0,copied
Vitamin B12 500mcg,Vitamin B12 500mcg,1.0,copied
Vitamin D3 1000IU,Vitamin D3 1000IU,1.0,copied
Vitex Agnus Castus,Vitex Agnus Castus,1.0,copied
Voltaren Emulgel 25g,Voltaren Emulgel 10g,1.0,copied
Voltaren Emulgel 50g,Voltaren Emulgel 10g,1.0,copied
Xyzal Tablet 5mg,Xyzal Tablet 5mg,1.0,copied
Yusimox Kapsul,Yusimox Kapsul,1.0,copied
Zinc Tablet 20mg,Zinc Tablet 20mg,1.0,copied
