name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
Acetro,-,Acetro adalah obat yang digunakan sebagai terapi oral jangka panjang spesifik pada penyakit sendi degeneratif.,Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,28000,161,,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/acetro
Acetylcysteine,-,Acetylcysteine digunakan untuk mengencerkan dahak dan menangani keracunan paracetamol. Apa sih kandungannya? Yuk kita simak di sini.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,25000,181,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/acetylcysteine
Aciblock,-,Aciblock adalah obat yang diindikasikan untuk mengatasi asam lambung tinggi penyebab maag.,Konsultasikan dengan dokter,Lambung & Maag,,False,True,maag; asam lambung; mual; perut kembung; nyeri lambung,Sumber: KlikDokter,13500,86,,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/aciblock
Acifar,-,"Acifar adalah obat untuk mengatasi infeksi akibat virus, seperti cacar air, herpes simpleks, dan herpes zoster.",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,74000,132,,https://www.klikdokter.com/obat/obat-kulit/acifar
Acilaz,-,Sering merasakan nyeri lambung atau punya masalah asam lambung? Coba diatasi dengan Acilaz. Apa saja kandungan dan manfaat obat Acilaz?,Konsultasikan dengan dokter,Lambung & Maag,,False,True,maag; asam lambung; mual; perut kembung; nyeri lambung,Sumber: KlikDokter,35500,174,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/jXDyzf1bsG8_w5x_VKUyn/original/056432800_1576490752-Penyebab-Masalah-Asam-Lambung-Sering-Kambuh-di-Malam-Hari-Shutterstock_176963621.jpg,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/acilaz
Acitral,-,"Saat gejala mag menyerang, mengonsumsi antasida seperti obat Acitral salah satu solusinya. Apa komposisi dan manfaat Acitral? Cek di sini.",Konsultasikan dengan dokter,Lambung & Maag,,False,True,maag; asam lambung; mual; perut kembung; nyeri lambung,Sumber: KlikDokter,34500,100,,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/acitral
Acitretin,-,Acitretin digunakan untuk mengobati psoriasis parah. Kondisi apa lagi yang dapat diobati dengan Acitretin? Simak penjelasannya di artikel in,Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,72000,93,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/fUaqKLGZErrtJtSWIATAk/original/097074300_1540808107-8-Makanan-Ini-Picu-Psoriasis-By-MK-photograp55-Shutterstock.jpg,https://www.klikdokter.com/obat/obat-kulit/acitretin
Aclasta,-,Aclasta adalah obat yang digunakan dalam terapi osteoporosis pada pasien dengan risiko patah tulang. Ketahui selanjutnya di sini.,Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,33000,82,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/WjG2T93zuW-OiP1gm2_0V/original/059402000_1540171056-Ketahui-4-Penyebab-Osteoporosis-By_Alex-Mit-Shutterstock.jpg,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/aclasta
Aclonac,-,"Aclonac adalah obat untuk mengurangi rasa nyeri pada kondisi rheumatoid arthritis, osteoarthritis, dan ankylosing spondylitis.",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,12000,81,,https://www.klikdokter.com/obat/obat-antinyeri/aclonac
Acnacare Plus,-,"Acnacare Plus digunakan untuk membantu mengatasi jerawat ringan sampai sedang, mengurangi bekas luka jerawat, memelihara kesehatan kulit.",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,115000,185,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/acnacare-plus
Acne Feldin,-,Losion Acne Feldin digunakan untuk merawat kulit yang berjerawat. Bagaimana cara pakainya? Adakah efek samping yang perlu diwaspadai?,Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,37000,156,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/ikOIgzWCDQysRszO2_1O-/original/084786200_1596697014-Obat-jerawat-shutterstock_1097602553.jpg,https://www.klikdokter.com/obat/obat-kulit/acne-feldin
Acnebenz,-,Acnebenz digunakan untuk mengobati jerawat.,Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,28500,120,,https://www.klikdokter.com/obat/obat-kulit/acnebenz
Acnebenz CL,-,Acnebenz CL digunakan untuk mengobati jerawat sedang hingga berat.,Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,20000,151,,https://www.klikdokter.com/obat/obat-kulit/acnebenz-cl
Acnelia,-,Acnelia digunakan untuk membantu menjaga kesehatan kulit.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,9000,156,,https://www.klikdokter.com/obat/obat-herbal/acnelia
Acnes Creamy Wash,-,"Tak cuma merusak penampilan, jerawat juga ganggu kenyamanan. Anda bisa pakai Acnes Creamy Wash untuk mengatasinya. Ini info lengkapnya.",Konsultasikan dengan dokter,Obat Kulit & Luka,,False,True,luka; kulit; antiseptik; bekas luka; jerawat,Sumber: KlikDokter,29000,165,,https://www.klikdokter.com/obat/perawatan-kulit-dan-tubuh/acnes-creamy-wash
Acnes Sealing Jell,-,Acnes Sealing Jell adalah kosmetik dengan bentukn sediaan gel yang berguna dalam mengatasi jerawat.,Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,22500,137,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/i6tWjMj9nUUB2yERzP22I/original/4u1fg7picca6e6axeloleb0omkhxk3kz.png,https://www.klikdokter.com/obat/obat-kulit/acnes-sealing-jell
Acnes Spot Care,-,Acnes Spot Care digunakan untuk menyamarkan noda hitam bekas jerawat.,Konsultasikan dengan dokter,Obat Kulit & Luka,,False,True,luka; kulit; antiseptik; bekas luka; jerawat,Sumber: KlikDokter,48000,89,,https://www.klikdokter.com/obat/perawatan-kulit-dan-tubuh/acnes-spot-care
Acnes Washing Bar,-,Acnes Washing Bar digunakan untuk mengatasi masalah jerawat di badan (terutama bagian dada dan punggung).,Konsultasikan dengan dokter,Obat Kulit & Luka,,False,True,luka; kulit; antiseptik; bekas luka; jerawat,Sumber: KlikDokter,13000,162,,https://www.klikdokter.com/obat/perawatan-kulit-dan-tubuh/acnes-washing-bar
Acnol Lotion,-,"Acnol Lotion digunakan untuk mengeringkan jerawat dan mengurangi minyak berlebih, serta membantu melawan bakteri akibat jerawat.",Konsultasikan dengan dokter,Obat Kulit & Luka,,False,True,luka; kulit; antiseptik; bekas luka; jerawat,Sumber: KlikDokter,29000,80,,https://www.klikdokter.com/obat/perawatan-kulit-dan-tubuh/acnol-lotion
Acnosil,-,Acnosil digunakan untuk mengatasi jerawat pustula dan menghilangkan komedo.,Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,12000,108,,https://www.klikdokter.com/obat/obat-kulit/acnosil
Acpulsif,-,Acpulsif adalah obat berbentuk tablet yang digunakan untuk mengatasi gangguan gerakan saluran pencernaan.,Konsultasikan dengan dokter,Lambung & Maag,,False,True,maag; asam lambung; mual; perut kembung; nyeri lambung,Sumber: KlikDokter,16000,153,,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/acpulsif
Acran,-,asam lambung berlebih hingga menimbulkan nyeri? kamu bisa mengatasinya dengan Acran. Apa kandungan di dalamnya? Simak selengkapnya dibawah ini !,Konsultasikan dengan dokter,Lambung & Maag,,False,True,maag; asam lambung; mual; perut kembung; nyeri lambung,Sumber: KlikDokter,35500,119,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/VHEKmvr-GJpvAlr6iKELg/original/019004700_1600326449-Asam-Lambung-Naik-shutterstock_756954385.jpg,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/acran
Acrivastine,-,Acrivastine adalah obat yang digunakan untuk mengatasi alergi. Bagaimana cara kerja dan juga aturan pakai obat Acrivastine? Simak di sini.,Konsultasikan dengan dokter,Alergi & Gatal,,False,True,alergi; gatal; biduran; bersin; ruam,Sumber: KlikDokter,32500,168,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/MQxIPxHxdgP0wb6LCCKHD/original/054589600_1483459999-Apa-Beda-Kulit-Berjamur-dan-Kulit-Alergi.jpg,https://www.klikdokter.com/obat/obat-alergi/acrivastine
Act-HIB,-,Act-HIB adalah vaksin yang digunakan untuk mencegah infeksi yang diakibatkan oleh bakteri Haemophilus influenzae tipe B.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,36000,130,,https://www.klikdokter.com/obat/obat-herbal/act-hib
Actabone,-,Actabone adalah obat yang digunakan untuk mengatasi hiperkalsemia pada pasien kanker.,Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,19000,182,,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/actabone
Actifed,-,Actifed adalah obat berbentuk sirup untuk meringankan gejala flu dan alergi. Bagaimana cara pakai obat ini? Simak informasi lengkapnya berikut.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,33000,96,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/61xpqiTF_SDB4Sdx6NwMt/original/1676017637-Actifed.jpg,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/actifed
Actifed Plus Cough Suppressant,-,Actifed Plus Cough Suppressant digunakan untuk membantu mengatasi dan meringankan gejala flu dan batuk kering.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,10500,96,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/actifed-plus-cough-suppressant
Actifed Plus Expectorant,-,Actifed Plus Expectorant digunakan untuk membantu mengatasi dan meringankan gejala pilek dan batuk berdahak.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,49500,152,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/actifed-plus-expectorant
Active Calcium,-,"Active Calcium digunakan untuk memenuhi kebutuhan kalsium, menjaga tulang, meningkatkan kemampuan otot, mencegah osteoporosis.",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,31000,168,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/active-calcium
Actonel,-,"Actonel adalah obat yang digunakan untuk mencegah Osteoporosis dan paget tulang, simak selengkapnya di bawah ini!",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,21500,111,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/zDlCLE_6pdCEssN7n3CGl/original/045647200_1586401890-osteoporosis_dipicu_karena_diet.jpg,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/actonel
Acucel,-,Acucel digunakan untuk mengatasi masalah jerawat.,Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,16000,86,,https://www.klikdokter.com/obat/obat-kulit/acucel
Acyclovir,-,"Acyclovir adalah obat antivirus untuk mengatasi herpes simplex, penyakit cacar, hingga herpes genital. Obat Acyclovir tersedia dalam bentuk krim dan tablet.",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,64500,96,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/brOQl8UnnIiRn9RuVN0cu/original/OBT0005058.jpg,https://www.klikdokter.com/obat/obat-kulit/acyclovir
Acyfote,-,Acyfote adalah suplemen yang membantu melindungi tubuh dari radikal bebas sehingga kesehatan tubuh dapat terjaga.,Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,116000,180,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/acyfote
Adant Dispo,-,Adant Dispo adalah obat untuk menangani nyeri lutut pada pasien osteoartritis jika gagal diatasi dengan terapi non-farmakologis.,Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,16000,82,,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/adant-dispo
Addawa On,-,Addawa On digunakan untuk membantu memelihara stamina pria.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,31000,116,,https://www.klikdokter.com/obat/obat-herbal/addawa-on
Addawa Pegagan,-,"Addawa Pegagan digunakan untuk membantu meningkatkan daya ingat, menjaga kesehatan tubuh, serta membantu melancarkan sirkulasi darah.",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,28500,139,,https://www.klikdokter.com/obat/obat-herbal/addawa-pegagan
Addawa Sambiloto,-,Addawa Sambiloto secara tradisional digunakan untuk membantu menurunkan kadar gula dalam darah.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,36500,159,,https://www.klikdokter.com/obat/obat-herbal/addawa-sambiloto
Addawa Temulawak,-,Addawa Temulawak secara tradisional digunakan untuk membantu menjaga kesehatan fungsi hati.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,40500,181,,https://www.klikdokter.com/obat/obat-herbal/addawa-temulawak
Adem Pil,-,"Adem Pil digunakan sebagai obat herbal untuk membantu meredakan demam, serta membantu mengurangi peradangan dan rasa nyeri.",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,14000,95,,https://www.klikdokter.com/obat/obat-herbal/adem-pil
Adineuron,-,Adineuron digunakan untuk meringankan peradangan pada saraf.,Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,53000,93,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/adineuron
Aditusin,-,Aditusin digunakan untuk mengobati batuk yang disertai dengan pilek dan alergi.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,30500,116,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/aditusin
Adlansis,-,Adlansis digunakan untuk mencegah dan mengobati tukak (luka) pada lambung dan usus yang disebabkan oleh obat anti-inflamasi non steroid.,Konsultasikan dengan dokter,Lambung & Maag,,False,True,maag; asam lambung; mual; perut kembung; nyeri lambung,Sumber: KlikDokter,42500,167,,https://www.klikdokter.com/obat/obat-gangguan-pencernaan/adlansis
Aerius,-,"Aerius digunakan untuk mengatasi gejala alergi, seperti gatal, ruam, biduran, dan peradangan. Apa saja kandungannya? Ketahui info lengkapnya di sini.",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,alergi; gatal; biduran; bersin; ruam,Sumber: KlikDokter,18000,133,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/tIT4IGsChp83x961HPomL/original/075315500_1597143572-Vitamin-D-Bisakah-Atasi-Kulit-Gatal-shutterstock_1233215578.jpg,https://www.klikdokter.com/obat/obat-alergi/aerius
Aerius D-12,-,Aerius D-12 adalah obat yang digunakan untuk meredakan gejala alergi.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,43000,82,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/aerius-d-12
Afamed,-,Afamed adalah suplemen yang digunakan untuk membantu memelihara daya tahan tubuh.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,13500,147,,https://www.klikdokter.com/obat/obat-herbal/afamed
Afiabumin,-,"Afiabumin digunakan untuk membantu meningkatkan nafsu makan, meningkatkan sistem imun, membantu pertumbuhan dan perkembangan anak.",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,29000,124,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/afiabumin
Afiafit,-,Afiafit adalah obat herbal yang digunakan untuk membantu menjaga kesehatan tubuh.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,37500,158,,https://www.klikdokter.com/obat/obat-herbal/afiafit
Afiafit Slim,-,"Afiafit Slim secara tradisional digunakan untuk membantu mengurangi nafsu makan, menurunkan berat badan.",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,36000,181,,https://www.klikdokter.com/obat/obat-herbal/afiafit-slim
Afiagin,-,Afiagin secara tradisional dapat membantu meluruhkan batu urin pada ginjal dan saluran kemih.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,31000,90,,https://www.klikdokter.com/obat/obat-herbal/afiagin
Afiamaagh,-,"Afiamaagh secara tradisional dapat membantu meringankan gangguan pencernaan, seperti perut kembung dan dapat memperbaiki nafsu makan.",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,9500,139,,https://www.klikdokter.com/obat/obat-herbal/afiamaagh
Afiamorinda,-,"Afiamorinda secara tradisional digunakan untuk membantu menurunkan tekanan darah tinggi, membantu meredakan nyeri.",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,44500,144,,https://www.klikdokter.com/obat/obat-herbal/afiamorinda
Afiapro,-,Afiapro secara tradisional digunakan untuk memelihara kesehatan tubuh.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,25000,98,,https://www.klikdokter.com/obat/obat-herbal/afiapro
Afibramol,-,"Afibramol adalah obat yang digunakan untuk membantu mengatasi nyeri ringan hingga sedang, serta menurunkan demam.",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,37500,136,,https://www.klikdokter.com/obat/obat-antinyeri/afibramol
Afidryl Expectorant,-,Afidryl Expectorant digunakan untuk membantu mengobati batuk berdahak dan batuk yang disebabkan oleh alergi.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,24500,91,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/afidryl-expectorant
Afiflex,-,"Afiflex adalah obat yang diindikasikan untuk meredakan nyeri otot, punggung, persendian, pundak, leher, pegal-pegal, dan keseleo.",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri; demam; sakit kepala; pegal; ngilu,Sumber: KlikDokter,10000,166,,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/afiflex
Aflucaps,-,"Aflucaps adalah obat yang digunakan untuk meredakan batuk, flu, sakit kepala, bersin-bersin, dan hidung tersumbat.",Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,22000,133,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/aflucaps
Afolat,-,Afolat adalah suplemen asam folat yang sering digunakan oleh ibu hamil. Apa sajakah manfaat Afolat? Cari tahu informasinya di sini.,Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,106500,179,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/0kL33C1AQT00b4Qp4Ushm/original/1669706726-Afolat.jpg,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/afolat
Afrin,-,"Afrin adalah obat semprot hidung yang diindikasikan untuk mengatasi hidung tersumbat akibat flu, alergi serbuk sari, ataupun sinusitis.",Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,17500,136,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/afrin
Afrin Drop,-,Afrin Drop adalah obat tetes yang dapat digunakan untuk meringankan hidung tersumbat dan melegakan saluran pernapasan anak.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,20000,93,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/afrin-drop
Afucid,-,Afucid digunakan untuk mengatasi infeksi bakteri pada kulit.,Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,kulit; jamur; gatal kulit; infeksi kulit; eksim,Sumber: KlikDokter,63000,169,,https://www.klikdokter.com/obat/obat-kulit/afucid
Agarillus Drop,-,Agarillus Drop secara tradisional digunakan untuk membantu memelihara kesehatan tubuh.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,39500,102,,https://www.klikdokter.com/obat/obat-herbal/agarillus-drop
Agrippin,-,Agrippin adalah obat yang digunakan untuk meredakan gejala flu yang disertai demam dan alergi.,Konsultasikan dengan dokter,Flu & Pilek,,False,True,flu; pilek; hidung tersumbat; bersin; demam,Sumber: KlikDokter,48000,117,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/agrippin
AHFC,-,AHFC adalah obat tradisional yang digunakan untuk membantu memelihara fungsi hati.,Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,herbal; tradisional; stamina; alami,Sumber: KlikDokter,21000,155,,https://www.klikdokter.com/obat/obat-herbal/ahfc
Ailin,-,Ailin adalah obat tetes mata untuk mengatasi mata merah karena iritasi ringan.,Konsultasikan dengan dokter,Mata & Telinga,,False,True,mata; telinga; iritasi mata; infeksi mata,Sumber: KlikDokter,52500,118,,https://www.klikdokter.com/obat/obat-mata/ailin
Airborne,-,Airborne digunakan untuk membantu menjaga daya tahan tubuh.,Konsultasikan dengan dokter,Suplemen,,False,True,vitamin; suplemen; imun; daya tahan; energi; stamina,Sumber: KlikDokter,54000,174,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/airborne
