id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
2450,You C1000 Vitamin Lemon Botol,Vitamin & Suplemen,8000.0,369,Vitamin C 1000mg,Minuman vitamin C segar; Gejala terkait: minuman vitamin c; segar,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Vitamin C 1000mg,Minuman vitamin C segar; minuman vitamin c; segar; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Nyeri lambung,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/eab308?text=You+C1000+Vitamin+Lemon+Botol,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2451,Betadine Tube 30g,Obat Kulit & Luka,27000.0,284,Povidone Iodine 10%,Antiseptik untuk luka lecet/potong; Gejala terkait: obat merah; luka lecet; antiseptik,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,Povidone Iodine 10%,Antiseptik untuk luka lecet/potong; obat merah; luka lecet; antiseptik; Gunakan sesuai petunjuk pada kemasan.,Iritasi ringan,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/ec4899?text=Betadine+Tube+30g,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2452,You C1000 Botol 120ml,Vitamin & Suplemen,14500.0,192,Vitamin C 1000mg,Minuman vitamin C segar; Gejala terkait: minuman vitamin c; segar,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,Vitamin C 1000mg,Minuman vitamin C segar; minuman vitamin c; segar; Gunakan sesuai petunjuk pada kemasan.,Nyeri lambung,2027-06-30,Produk,https://placehold.co/400x300/f8fafc/eab308?text=You+C1000+Botol+120ml,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2453,CDR Tube 10 Tablet,Vitamin & Suplemen,48000.0,442,"Kalsium, Vitamin C, D, B6","Kesehatan tulang, gigi, dan imun; Gejala terkait: kalsium; tulang kuat; ibu hamil",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Kalsium, Vitamin C, D, B6","Kesehatan tulang, gigi, dan imun; kalsium; tulang kuat; ibu hamil; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Kembung (karena gas effervescent),2027-06-30,Tablet,https://placehold.co/400x300/f8fafc/eab308?text=CDR+Tube+10+Tablet,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2454,Antangin JRG Box 5s,Herbal & Tradisional,18000.0,135,"Jahe, Royal Jelly, Ginseng","Masuk angin, greges; Gejala terkait: greges; meriang; masuk angin",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Jahe, Royal Jelly, Ginseng","Masuk angin, greges; greges; meriang; masuk angin; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Tubuh terasa hangat berlebih,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/84cc16?text=Antangin+JRG+Box+5s,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2455,GPU Minyak Gosok Botol 60ml,Obat Oles Nyeri,20000.0,414,"Nutmeg Oil, Eucalyptus Oil, Citronella","Urut, keseleo, pegal; Gejala terkait: minyak urut; keseleo",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Nutmeg Oil, Eucalyptus Oil, Citronella","Urut, keseleo, pegal; minyak urut; keseleo; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Iritasi lokal,2027-06-30,Produk,https://placehold.co/400x300/f8fafc/f97316?text=GPU+Minyak+Gosok+Botol+60ml,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2456,Larutan Cap Kaki Tiga Botol 500ml,Herbal & Tradisional,10000.0,411,"Gypsum Fibrosum, Calcitum","Panas dalam, bibir pecah-pecah; Gejala terkait: air panas dalam; bibir pecah",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Gypsum Fibrosum, Calcitum","Panas dalam, bibir pecah-pecah; air panas dalam; bibir pecah; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Jarang,2027-06-30,Produk,https://placehold.co/400x300/f8fafc/84cc16?text=Larutan+Cap+Kaki+Tiga+Botol+500ml,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2457,Salonpas Koyo Hijau 10s,Obat Oles Nyeri,9000.0,216,"Methyl Salicylate, Menthol",Koyo pereda nyeri otot; Gejala terkait: koyo tempel; salah bantal,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Methyl Salicylate, Menthol",Koyo pereda nyeri otot; koyo tempel; salah bantal; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kemerahan bentuk koyo,2026-12-31,Produk,https://placehold.co/400x300/f8fafc/f97316?text=Salonpas+Koyo+Hijau+10s,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2458,Ultraflu Tablet,Flu & Pilek,4000.0,254,"Paracetamol, Phenylpropanolamine, CTM",Gejala flu dan pilek; Gejala terkait: flu; bersin,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol, Phenylpropanolamine, CTM",Gejala flu dan pilek; flu; bersin; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mengantuk,2028-03-15,Tablet,https://placehold.co/400x300/f8fafc/06b6d4?text=Ultraflu+Tablet,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2459,Telfast Tablet 180mg,Alergi & Gatal,95000.0,44,Fexofenadine HCl,Alergi rinitis berat tanpa kantuk; Gejala terkait: alergi tanpa ngantuk; gatal rinitis,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Fexofenadine HCl,Alergi rinitis berat tanpa kantuk; alergi tanpa ngantuk; gatal rinitis; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sakit kepala ringan,2027-06-30,Tablet,https://placehold.co/400x300/f8fafc/8b5cf6?text=Telfast+Tablet+180mg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2460,Microlax Tube 5ml,Pencernaan & Diare,28000.0,290,"Na Lauryl Sulfoacetate, Sorbitol",Melancarkan BAB segera; Gejala terkait: bab keras; sembelit parah,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Na Lauryl Sulfoacetate, Sorbitol",Melancarkan BAB segera; bab keras; sembelit parah; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Rasa tidak nyaman di anus,2028-03-15,Produk,https://placehold.co/400x300/f8fafc/f59e0b?text=Microlax+Tube+5ml,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2461,Geliga Strip 10s,Obat Oles Nyeri,8000.0,460,"Methyl Salicylate, Peppermint Oil","Nyeri punggung, pegal; Gejala terkait: balsem panas; sakit pinggang",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,"Methyl Salicylate, Peppermint Oil","Nyeri punggung, pegal; balsem panas; sakit pinggang; Gunakan sesuai petunjuk pada kemasan.",Panas lokal,2027-06-30,Topikal,https://placehold.co/400x300/f8fafc/f97316?text=Geliga+Strip+10s,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2462,Pamol Suppositoria,Nyeri & Demam,30000.0,407,Paracetamol,Demam dan nyeri; Gejala terkait: demam; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol,Demam dan nyeri; demam; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/ef4444?text=Pamol+Suppositoria,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2463,Bisolvon Extra Sirup 60ml,Obat Batuk,42000.0,460,Bromhexine HCl,Mengencerkan dahak; Gejala terkait: dahak kental; batuk parah,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Bromhexine HCl,Mengencerkan dahak; dahak kental; batuk parah; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gangguan pencernaan ringan,2028-12-31,Sirup,https://placehold.co/400x300/f8fafc/3b82f6?text=Bisolvon+Extra+Sirup+60ml,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2464,Tremenza Tube 15g,Flu & Pilek,35000.0,402,"Pseudoephedrine, Triprolidine",Flu alergi; Gejala terkait: flu alergi; pilek tak kunjung sembuh,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,"Pseudoephedrine, Triprolidine",Flu alergi; flu alergi; pilek tak kunjung sembuh; Gunakan sesuai petunjuk pada kemasan.,"Mengantuk sangat, mulut kering",2028-03-15,Produk,https://placehold.co/400x300/f8fafc/06b6d4?text=Tremenza+Tube+15g,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2465,Sanmol Sirup,Nyeri & Demam,22000.0,253,Paracetamol 500mg,Meredakan demam dan nyeri ringan; Gejala terkait: demam; panas; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Meredakan demam dan nyeri ringan; demam; panas; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang: ruam kulit,2026-12-31,Sirup,https://placehold.co/400x300/f8fafc/ef4444?text=Sanmol+Sirup,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2466,Rhinos SR Kapsul,Flu & Pilek,65000.0,64,"Pseudoephedrine, Loratadine / CTM","Hidung tersumbat berat, rinitis alergi; Gejala terkait: hidung buntu; rinitis alergi; pilek parah",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Pseudoephedrine, Loratadine / CTM","Hidung tersumbat berat, rinitis alergi; hidung buntu; rinitis alergi; pilek parah; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.","Mulut kering, insomnia",2027-06-30,Produk,https://placehold.co/400x300/f8fafc/06b6d4?text=Rhinos+SR+Kapsul,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2467,Komix Box 50s,Obat Batuk,70000.0,166,"Dextromethorphan, Guaifenesin",Batuk ringan; Gejala terkait: batuk ringan; batuk gatal,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,"Dextromethorphan, Guaifenesin",Batuk ringan; batuk ringan; batuk gatal; Gunakan sesuai petunjuk pada kemasan.,Mengantuk,2026-12-31,Sachet,https://placehold.co/400x300/f8fafc/3b82f6?text=Komix+Box+50s,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2468,Cooling 5 Spray Cherry 15ml,Mulut & Tenggorokan,38000.0,152,Phenol Crystal,"Sakit tenggorokan ringan, pembunuh kuman mulut; Gejala terkait: semprot tenggorokan; gatal tenggorokan",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Phenol Crystal,"Sakit tenggorokan ringan, pembunuh kuman mulut; semprot tenggorokan; gatal tenggorokan; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Rasa kebas,2028-12-31,Spray,https://placehold.co/400x300/f8fafc/d946ef?text=Cooling+5+Spray+Cherry+15ml,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2469,Rhinos Tube 50g,Flu & Pilek,162500.0,53,"Pseudoephedrine, Loratadine / CTM","Hidung tersumbat berat, rinitis alergi; Gejala terkait: hidung buntu; rinitis alergi; pilek parah",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,"Pseudoephedrine, Loratadine / CTM","Hidung tersumbat berat, rinitis alergi; hidung buntu; rinitis alergi; pilek parah; Gunakan sesuai petunjuk pada kemasan.","Mulut kering, insomnia",2028-12-31,Produk,https://placehold.co/400x300/f8fafc/06b6d4?text=Rhinos+Tube+50g,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2470,Hot In Cream Botol 120ml,Obat Oles Nyeri,35000.0,494,"Menthol, Methyl Salicylate, Pine Oil","Pegal linu, masuk angin; Gejala terkait: pegal parah; capek badan; krim panas",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Menthol, Methyl Salicylate, Pine Oil","Pegal linu, masuk angin; pegal parah; capek badan; krim panas; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Sangat panas pada kulit sensitif,2028-12-31,Topikal,https://placehold.co/400x300/f8fafc/f97316?text=Hot+In+Cream+Botol+120ml,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2471,Fungiderm Tube 50g,Antijamur & Kulit,45000.0,348,Clotrimazole 1%,Infeksi jamur; Gejala terkait: jamur selangkangan; panu,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,Clotrimazole 1%,Infeksi jamur; jamur selangkangan; panu; Gunakan sesuai petunjuk pada kemasan.,Iritasi,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/14b8a6?text=Fungiderm+Tube+50g,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2472,Fasidol Drops,Nyeri & Demam,15000.0,225,Paracetamol,Demam; Gejala terkait: demam; pusing,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol,Demam; demam; pusing; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Produk,https://placehold.co/400x300/f8fafc/ef4444?text=Fasidol+Drops,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2473,Garamycin Ointment 15g,Obat Kulit & Luka,85000.0,36,Gentamicin Sulfate,Infeksi kulit primer (impetigo); Gejala terkait: infeksi kulit; bisul,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gentamicin Sulfate,Infeksi kulit primer (impetigo); infeksi kulit; bisul; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gatal ringan,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/ec4899?text=Garamycin+Ointment+15g,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2474,Scabimite Cream 10g,Antijamur & Kulit,65000.0,46,Permethrin 5%,"Kudis (Scabies), tungau; Gejala terkait: kudis; scabies; tungau kasur; gatal malam",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Permethrin 5%,"Kudis (Scabies), tungau; kudis; scabies; tungau kasur; gatal malam; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Rasa panas di kulit,2028-12-31,Topikal,https://placehold.co/400x300/f8fafc/14b8a6?text=Scabimite+Cream+10g,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2475,Ryvel Botol 120ml,Alergi & Gatal,72000.0,66,Cetirizine HCl,"Alergi, urtikaria (biduran); Gejala terkait: biduran anak; alergi kulit",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,Cetirizine HCl,"Alergi, urtikaria (biduran); biduran anak; alergi kulit; Gunakan sesuai petunjuk pada kemasan.",Mengantuk,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/8b5cf6?text=Ryvel+Botol+120ml,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2476,Bodrex Extra,Nyeri & Demam,12000.0,289,"Paracetamol 600mg, Caffeine 50mg","Sakit kepala, demam; Gejala terkait: sakit kepala; migrain",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 600mg, Caffeine 50mg","Sakit kepala, demam; sakit kepala; migrain; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Berdebar,2026-12-31,Produk,https://placehold.co/400x300/f8fafc/ef4444?text=Bodrex+Extra,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2477,Herocyn Tube 15g,Alergi & Gatal,15000.0,342,"Menthol, Sulfur, Salicylic Acid",Gatal-gatal di badan dan kaki; Gejala terkait: bedak gatal; biang keringat dewasa,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,"Menthol, Sulfur, Salicylic Acid",Gatal-gatal di badan dan kaki; bedak gatal; biang keringat dewasa; Gunakan sesuai petunjuk pada kemasan.,Dingin / perih di luka,2026-12-31,Produk,https://placehold.co/400x300/f8fafc/8b5cf6?text=Herocyn+Tube+15g,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2478,Tempra Botol 120ml,Nyeri & Demam,81000.0,83,Paracetamol,Demam anak; Gejala terkait: demam bayi; panas anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,Paracetamol,Demam anak; demam bayi; panas anak; Gunakan sesuai petunjuk pada kemasan.,Jarang,2028-03-15,Produk,https://placehold.co/400x300/f8fafc/ef4444?text=Tempra+Botol+120ml,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2479,OBH Combi Batuk Berdahak Menthol,Obat Batuk,22000.0,118,"Succus liquiritiae, Paracetamol, Ephedrine",Batuk berdahak dan flu; Gejala terkait: batuk berdahak; flu batuk,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Succus liquiritiae, Paracetamol, Ephedrine",Batuk berdahak dan flu; batuk berdahak; flu batuk; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mengantuk,2026-12-31,Produk,https://placehold.co/400x300/f8fafc/3b82f6?text=OBH+Combi+Batuk+Berdahak+Menthol,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2480,Procold Flu Tablet,Flu & Pilek,6000.0,309,"Paracetamol, Pseudoephedrine","Flu, demam, sakit kepala; Gejala terkait: flu meriang; pusing flu",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol, Pseudoephedrine","Flu, demam, sakit kepala; flu meriang; pusing flu; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Berdebar,2027-06-30,Tablet,https://placehold.co/400x300/f8fafc/06b6d4?text=Procold+Flu+Tablet,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2481,Stimuno Sirup Jeruk,Vitamin & Suplemen,32000.0,241,Ekstrak Phyllanthus niruri,Fitofarmaka daya tahan tubuh; Gejala terkait: imunomodulator; gampang sakit,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ekstrak Phyllanthus niruri,Fitofarmaka daya tahan tubuh; imunomodulator; gampang sakit; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Sirup,https://placehold.co/400x300/f8fafc/eab308?text=Stimuno+Sirup+Jeruk,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2482,Vicks Formula 44 Anak Sirup 27ml,Obat Batuk,14000.0,246,"Dextromethorphan HBr, Doxylamine",Batuk kering & bersin; Gejala terkait: batuk kering malam hari; batuk gatal,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Dextromethorphan HBr, Doxylamine",Batuk kering & bersin; batuk kering malam hari; batuk gatal; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mengantuk,2028-12-31,Sirup,https://placehold.co/400x300/f8fafc/3b82f6?text=Vicks+Formula+44+Anak+Sirup+27ml,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2483,Insto Dry Eyes 7.5ml,Mata & Telinga,18000.0,129,Tetrahydrozoline HCl (Regular) / HPMC (Dry Eyes),Mata merah iritasi / Mata kering; Gejala terkait: mata merah debu; mata perih kelilipan; obat tetes mata,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Tetrahydrozoline HCl (Regular) / HPMC (Dry Eyes),Mata merah iritasi / Mata kering; mata merah debu; mata perih kelilipan; obat tetes mata; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Perih di awal tetes,2028-03-15,Produk,https://placehold.co/400x300/f8fafc/0ea5e9?text=Insto+Dry+Eyes+7.5ml,True,"[""otc"",""indonesia"",""chatbot-ready""]"
