id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
11,Biogesic Paracetamol Isi 4 Tablet,Nyeri & Demam,5000.0,243,Paracetamol 500mg,Demam dan nyeri ringan; Gejala: demam; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri ringan; demam; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2029-01-15,Tablet,/medicines/Biogesic Paracetamol Isi 4 Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
12,Biogesic Sirup Rasa jeruk 60ml,Nyeri & Demam,20000.0,132,Paracetamol 120mg/5ml,Demam anak rasa jeruk; Gejala: demam anak; jeruk,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam anak rasa jeruk; demam anak; jeruk; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2029-01-15,Sirup,/medicines/Biogesic Sirup Rasa jeruk 60ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
13,Sumagesic Tablet 600mg,Nyeri & Demam,15000.0,234,Paracetamol 600mg,"Sakit kepala, sakit gigi, demam berat; Gejala: demam tinggi; sakit kepala berat; sakit gigi",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 600mg,"Sakit kepala, sakit gigi, demam berat; demam tinggi; sakit kepala berat; sakit gigi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Gangguan hati dosis tinggi,2028-03-15,Tablet,/medicines/Sumagesic Tablet 600mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
14,Proris Tablet,Nyeri & Demam,12000.0,209,Ibuprofen 200mg,"Nyeri sendi, sakit gigi, demam; Gejala: nyeri radang; demam; sakit gigi",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ibuprofen 200mg,"Nyeri sendi, sakit gigi, demam; nyeri radang; demam; sakit gigi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Nyeri lambung,2027-06-30,Tablet,/medicines/Proris Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
15,Proris Forte Sirup 50ml,Nyeri & Demam,25000.0,255,Ibuprofen 100mg/5ml,"Demam anak, sakit gigi anak; Gejala: demam anak; sakit gigi anak",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ibuprofen 100mg/5ml,"Demam anak, sakit gigi anak; demam anak; sakit gigi anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Nyeri lambung,2027-06-30,Sirup,/medicines/Proris Forte Sirup 50ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
16,Proris Botol 60ml,Nyeri & Demam,22000.0,309,Ibuprofen 100mg/5ml,Demam dan nyeri anak; Gejala: demam anak; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ibuprofen 100mg/5ml,Demam dan nyeri anak; demam anak; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Nyeri lambung,2029-01-15,Produk,/medicines/Proris Botol 60ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
17,Proris Suppositoria,Nyeri & Demam,40000.0,319,Ibuprofen 125mg,Demam tinggi anak yang tidak bisa minum; Gejala: demam tinggi anak; suppositoria,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ibuprofen 125mg,Demam tinggi anak yang tidak bisa minum; demam tinggi anak; suppositoria; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Nyeri lambung,2028-03-15,Produk,/medicines/Proris Suppositoria.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
18,Farsifen Tablet,Nyeri & Demam,8000.0,284,Ibuprofen 200mg,"Sakit gigi, demam, nyeri haid; Gejala: nyeri haid; sakit gigi; demam",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ibuprofen 200mg,"Sakit gigi, demam, nyeri haid; nyeri haid; sakit gigi; demam; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Nyeri lambung,2029-01-15,Tablet,/medicines/Farsifen Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
19,Farsifen Sirup 60 ml,Nyeri & Demam,18000.0,287,Ibuprofen 100mg/5ml,Nyeri dan demam anak; Gejala: demam anak; nyeri anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ibuprofen 100mg/5ml,Nyeri dan demam anak; demam anak; nyeri anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Nyeri lambung,2027-06-30,Sirup,/medicines/Farsifen Sirup 60 ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
20,Bodrex Tablet,Nyeri & Demam,9000.0,274,"Paracetamol 600mg, Caffeine 50mg","Sakit kepala, pusing; Gejala: sakit kepala; pusing",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 600mg, Caffeine 50mg","Sakit kepala, pusing; sakit kepala; pusing; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Berdebar,2026-12-31,Tablet,/medicines/Bodrex Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
21,Bodrex Extra,Nyeri & Demam,12000.0,196,"Paracetamol 600mg, Caffeine 65mg","Sakit kepala berat, migrain; Gejala: sakit kepala; migrain",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 600mg, Caffeine 65mg","Sakit kepala berat, migrain; sakit kepala; migrain; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.","Berdebar, insomnia",2026-12-31,Produk,/medicines/Bodrex Extra.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
22,Bodrex Migra,Nyeri & Demam,15000.0,385,"Paracetamol, Caffeine, Ergotamine",Migrain akut; Gejala: migrain berat,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol, Caffeine, Ergotamine",Migrain akut; migrain berat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Berdebar, mual",2028-12-31,Produk,/medicines/Bodrex Migra.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
23,Bodrex Flu & Batuk,Nyeri & Demam,14000.0,484,"Paracetamol, Phenylephrine, CTM, Dextromethorphan","Flu, batuk, demam; Gejala: flu batuk; meriang",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol, Phenylephrine, CTM, Dextromethorphan","Flu, batuk, demam; flu batuk; meriang; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Mengantuk,2029-01-15,Produk,/medicines/Bodrex Flu & Batuk.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
24,Oskadon Tablet,Nyeri & Demam,7000.0,141,"Paracetamol 500mg, Caffeine 35mg","Sakit kepala, pusing; Gejala: sakit kepala; pusing",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 500mg, Caffeine 35mg","Sakit kepala, pusing; sakit kepala; pusing; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Sulit tidur,2029-01-15,Tablet,/medicines/Oskadon Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
25,Oskadon Sp,Nyeri & Demam,8500.0,436,"Paracetamol 500mg, Caffeine 50mg, Propyphenazone",Sakit kepala berat; Gejala: sakit kepala berat,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 500mg, Caffeine 50mg, Propyphenazone",Sakit kepala berat; sakit kepala berat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Berdebar, insomnia",2028-12-31,Produk,/medicines/Oskadon Sp.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
26,Paramex Nyeri Otot,Nyeri & Demam,10000.0,141,"Paracetamol 250mg, Propyphenazone, Caffeine, Methocarbamol","Nyeri otot, pegal; Gejala: nyeri otot; pegal badan",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 250mg, Propyphenazone, Caffeine, Methocarbamol","Nyeri otot, pegal; nyeri otot; pegal badan; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.","Berdebar, mengantuk",2027-06-30,Produk,/medicines/Paramex Nyeri Otot.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
27,Paramex Tube 30g,Nyeri & Demam,12000.0,128,"Paracetamol 250mg, Propyphenazone, Caffeine",Sakit kepala; Gejala: sakit kepala; pusing,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 250mg, Propyphenazone, Caffeine",Sakit kepala; sakit kepala; pusing; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Berdebar,2027-06-30,Produk,/medicines/Paramex Tube 30g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
28,Inzana Tablet Kunyah,Nyeri & Demam,5000.0,120,Aspirin 80mg,Demam anak ringan; Gejala: demam anak ringan; aspirin anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Aspirin 80mg,Demam anak ringan; demam anak ringan; aspirin anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi lambung,2028-03-15,Tablet,/medicines/Inzana Tablet Kunyah.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
29,Inzana Box 30s,Nyeri & Demam,28000.0,438,Aspirin 80mg,Demam anak; Gejala: demam anak; aspirin,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Aspirin 80mg,Demam anak; demam anak; aspirin; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi lambung,2028-12-31,Produk,/medicines/Inzana Box 30s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
30,Inzana Sachet 5ml,Nyeri & Demam,3000.0,283,Paracetamol sirup,Demam anak sachet praktis; Gejala: demam anak sachet,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol sirup,Demam anak sachet praktis; demam anak sachet; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2027-06-30,Sachet,/medicines/Inzana Sachet 5ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
31,Contrexyn Tablet Anak,Nyeri & Demam,6000.0,459,"Aspirin 80mg, Vitamin C",Demam anak; Gejala: demam anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Aspirin 80mg, Vitamin C",Demam anak; demam anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi lambung,2029-01-15,Tablet,/medicines/Contrexyn Tablet Anak.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
32,Contrexyn Sirup,Nyeri & Demam,15000.0,238,Paracetamol 120mg/5ml,Demam anak; Gejala: demam anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam anak; demam anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Sirup,/medicines/Contrexyn Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
33,Contrexyn Strip 4s,Nyeri & Demam,5000.0,372,Paracetamol 500mg,Demam dan nyeri; Gejala: demam; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri; demam; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-12-31,Produk,/medicines/Contrexyn Strip 4s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
34,Contrexyn Box isi 100 tablet,Nyeri & Demam,65000.0,69,Paracetamol 500mg,Demam dan nyeri stok keluarga; Gejala: demam; nyeri; stok keluarga,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri stok keluarga; demam; nyeri; stok keluarga; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Tablet,/medicines/Contrexyn Box isi 100 tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
35,Dumin Tablet,Nyeri & Demam,15000.0,365,Paracetamol 500mg,Demam dan nyeri; Gejala: demam; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri; demam; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Tablet,/medicines/Dumin Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
36,Dumin Botol 60ml,Nyeri & Demam,22000.0,291,Paracetamol 120mg/5ml,Demam anak; Gejala: demam anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam anak; demam anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-12-31,Produk,/medicines/Dumin Botol 60ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
37,Dumin Rectal Tube 125mg,Nyeri & Demam,35000.0,477,Paracetamol 125mg,Demam anak yang tidak bisa minum obat; Gejala: demam anak suppositoria; bayi tidak mau minum,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 125mg,Demam anak yang tidak bisa minum obat; demam anak suppositoria; bayi tidak mau minum; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-12-31,Produk,/medicines/Dumin Rectal Tube 125mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
38,Dumin Rectal Tube 250mg,Nyeri & Demam,40000.0,414,Paracetamol 250mg,Demam anak besar/remaja yang tidak bisa minum; Gejala: demam anak suppositoria,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 250mg,Demam anak besar/remaja yang tidak bisa minum; demam anak suppositoria; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-12-31,Produk,/medicines/Dumin Rectal Tube 250mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
39,Pamol Tablet,Nyeri & Demam,14000.0,346,Paracetamol 500mg,Demam dan nyeri; Gejala: demam; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri; demam; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-12-31,Tablet,/medicines/Pamol Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
40,Pamol Botol 120ml,Nyeri & Demam,20000.0,206,Paracetamol 120mg/5ml,Demam anak; Gejala: demam anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam anak; demam anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Produk,/medicines/Pamol Botol 120ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
41,Pamol Suppositoria,Nyeri & Demam,30000.0,464,Paracetamol 150mg,Demam anak yang sulit minum obat; Gejala: demam suppositoria; anak tidak mau minum,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 150mg,Demam anak yang sulit minum obat; demam suppositoria; anak tidak mau minum; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Produk,/medicines/Pamol Suppositoria.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
42,Fasidol Strip 10s,Nyeri & Demam,6000.0,192,Paracetamol 500mg,Demam dan nyeri; Gejala: demam; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri; demam; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Produk,/medicines/Fasidol Strip 10s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
43,Fasidol Forte,Nyeri & Demam,8000.0,206,Paracetamol 650mg,"Demam tinggi, sakit kepala berat; Gejala: demam tinggi; sakit kepala berat",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 650mg,"Demam tinggi, sakit kepala berat; demam tinggi; sakit kepala berat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Jarang,2028-12-31,Produk,/medicines/Fasidol Forte.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
44,Fasidol Sirup,Nyeri & Demam,12000.0,353,Paracetamol 120mg/5ml,Demam anak; Gejala: demam anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam anak; demam anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2029-01-15,Sirup,/medicines/Fasidol Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
45,Fasidol Drops,Nyeri & Demam,15000.0,197,Paracetamol 100mg/ml,Demam bayi; Gejala: demam bayi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 100mg/ml,Demam bayi; demam bayi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Tetes,/medicines/Fasidol Drops.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
46,Tempra Sirup,Nyeri & Demam,42000.0,125,Paracetamol 160mg/5ml,Demam anak; Gejala: demam anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 160mg/5ml,Demam anak; demam anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2027-06-30,Sirup,/medicines/Tempra Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
47,Tempra Forte Sirup,Nyeri & Demam,48000.0,451,Paracetamol 250mg/5ml,Demam tinggi anak; Gejala: demam tinggi anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 250mg/5ml,Demam tinggi anak; demam tinggi anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2029-01-15,Sirup,/medicines/Tempra Forte Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
48,Tempra Drops,Nyeri & Demam,45000.0,317,Paracetamol 80mg/ml,Demam bayi; Gejala: demam bayi; panas bayi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 80mg/ml,Demam bayi; demam bayi; panas bayi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2029-01-15,Tetes,/medicines/Tempra Drops.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
49,Ponstan Kaplet,Nyeri & Demam,25000.0,389,Asam Mefenamat 500mg,"Nyeri haid, sakit gigi, nyeri sendi akut; Gejala: nyeri haid; sakit gigi; asam mefenamat",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Asam Mefenamat 500mg,"Nyeri haid, sakit gigi, nyeri sendi akut; nyeri haid; sakit gigi; asam mefenamat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.","Nyeri lambung, mual",2026-12-31,Produk,https://placehold.co/400x300/f8fafc/ef4444?text=Ponstan+Kaplet,True,"[""otc"",""indonesia"",""chatbot-ready""]"
